Belgium vs Egypt,P,,,,,,,,,
K. Nakamura,31,,,,,,,,,
T. Watanabe,21,,,,,,,,,
R. Doan,14,,,,,,,,,
T. Kubo,16,,,,,,,,,
J. Ito,14,,,,,,,,,
T. Tomiyasu,20,,,,,,,,,
Y. Sugawara,12,,,,,,,,,
K. Ogawa,1,,,,,,,,,
K. Shiogai,1,,,,,,,,,
Total,865,,,,,,,,,
,,,,,,,,,,
Curacao vs Germany,,,,,,,,,,
G,P,,,,,,,,,
N. Schlotterbeck,86,,,,,,,,,
K. Havertz,41,,,,,,,,,
J. Musiala,26,,,,,,,,,
J. Kimmich,73,,,,,,,,,
A. Pavlović,72,,,,,,,,,
F. Wirtz,64,,,,,,,,,
F. Nmecha,40,,,,,,,,,
N. Brown,36,,,,,,,,,
L. Sané,50,,,,,,,,,
J. Tah,71,,,,,,,,,
M. Neuer,22,,,,,,,,,
D. Undav,12,,,,,,,,,
D. Raum,7,,,,,,,,,
A. Rüdiger,17,,,,,,,,,
L. Goretzka,13,,,,,,,,,
W. Anton,7,,,,,,,,,
J. Locadia,14,,,,,,,,,
L. Bacuna,56,,,,,,,,,
D. Fonville,20,,,,,,,,,
A. Obispo,41,,,,,,,,,
E. Room,28,,,,,,,,,
J. Bacuna,33,,,,,,,,,
T. Chong,19,,,,,,,,,
R. Bazoer,35,,,,,,,,,
S. Hansen,7,,,,,,,,,
S. Floranus,34,,,,,,,,,
L. Comenencia,26,,,,,,,,,
J. Antonisse,21,,,,,,,,,
J. Margaritha,5,,,,,,,,,
G. Kastaneer,4,,,,,,,,,
Total,980,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Turkey vs Australia,,,,,,,,,,
G,C,,,,,,,,,
M. Touré,3,,,,,,,,,
H. Souttar,23,,,,,,,,,
C. Metcalfe,15,,,,,,,,,
A. O'Neill,32,,,,,,,,,
J. Italiano,16,,,,,,,,,
A. Circati,26,,,,,,,,,
P. Okon-Engstler,36,,,,,,,,,
N. Irankunda,7,,,,,,,,,
P. Beach,35,,,,,,,,,
C. Burgess,41,,,,,,,,,
J. Bos,23,,,,,,,,,
N. Velupillay,5,,,,,,,,,
T. Yengi,4,,,,,,,,,
J. Geria,2,,,,,,,,,
J. Irvine,2,,,,,,,,,
A. Behich,1,,,,,,,,,
A. Bardakcı,96,,,,,,,,,
F. Kadıoğlu,102,,,,,,,,,
O. Kökçü,36,,,,,,,,,
H. Çalhanoğlu,105,,,,,,,,,
A. Güler,73,,,,,,,,,
M. Demiral,62,,,,,,,,,
İ. Yüksek,57,,,,,,,,,
U. Çakır,20,,,,,,,,,
B. Yılmaz,17,,,,,,,,,
Z. Çelik,33,,,,,,,,,
K. Aktürkoğlu,11,,,,,,,,,
K. Yıldız,40,,,,,,,,,
Y. Akgün,21,,,,,,,,,
M. Müldür,14,,,,,,,,,
S. Özcan,17,,,,,,,,,
D. Gül,0,,,,,,,,,
Total,975,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Haiti vs Scotland,,,,,,,,,,
G,P,,,,,,,,,
M. Expérience,43,,,,,,,,,
H. Delcroix,66,,,,,,,,,
J. Placide,31,,,,,,,,,
J. Bellegarde,66,,,,,,,,,
R. Adé,63,,,,,,,,,
F. Pierrot,6,,,,,,,,,
D. Jean Jacques,53,,,,,,,,,
C. Arcus,35,,,,,,,,,
L. Deedson,8,,,,,,,,,
W. Isidor,9,,,,,,,,,
R. Providence,24,,,,,,,,,
J. Casimir,20,,,,,,,,,
L. Joseph,4,,,,,,,,,
Y. Fortuné,3,,,,,,,,,
L. Shankland,16,,,,,,,,,
L. Ferguson,44,,,,,,,,,
A. Hickey,35,,,,,,,,,
B. Gannon-Doak,23,,,,,,,,,
G. Hanley,50,,,,,,,,,
J. Hendry,56,,,,,,,,,
S. McTominay,29,,,,,,,,,
A. Robertson,42,,,,,,,,,
C. Adams,11,,,,,,,,,
J. McGinn,11,,,,,,,,,
A. Gunn,37,,,,,,,,,
N. Patterson,4,,,,,,,,,
R. Christie,5,,,,,,,,,
L. Dykes,6,,,,,,,,,
K. McLean,2,,,,,,,,,
F. Curtis,3,,,,,,,,,
Total,805,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Brazil vs Morocco,,,,,,,,,,
,P,,,,,,,,,
Roger Ibañez,17,,,,,,,,,
Marquinhos,79,,,,,,,,,
Lucas Paquetá,39,,,,,,,,,
Raphinha,31,,,,,,,,,
Bruno Guimarães,38,,,,,,,,,
Casemiro,18,,,,,,,,,
Alisson Becker,27,,,,,,,,,
Gabriel Magalhães,85,,,,,,,,,
Douglas Santos,62,,,,,,,,,
Igor Thiago,6,,,,,,,,,
Vinícius Júnior,31,,,,,,,,,
Fabinho,17,,,,,,,,,
Danilo,38,,,,,,,,,
Luiz Henrique,13,,,,,,,,,
Matheus Cunha,9,,,,,,,,,
Danilo Santos,4,,,,,,,,,
A. Ounahi,36,,,,,,,,,
I. Diop,53,,,,,,,,,
A. Bouaddi,66,,,,,,,,,
N. Mazraoui,32,,,,,,,,,
B. El Khannouss,28,,,,,,,,,
N. El Aynaoui,53,,,,,,,,,
B. Díaz,19,,,,,,,,,
C. Riad,40,,,,,,,,,
I. Saibari,24,,,,,,,,,
A. Hakimi,47,,,,,,,,,
Y. Bounou,35,,,,,,,,,
C. Talbi,9,,,,,,,,,
S. El Mourabet,26,,,,,,,,,
A. Amaimouni-Echghouyab,5,,,,,,,,,
