team,player,pos,tier,age,draft_pick,nba_gp,nba_mpg,adj,out,value
Utah Jazz,Ace Bailey,F,nba_rotation,,5,,,,,7.3
Utah Jazz,Darryn Peterson,G,lottery_rookie,,2,,,,,7.1
Utah Jazz,Cody Williams,F,nba_fringe,,10,100,16,,,6.9
Utah Jazz,Kylor Kelley,C,gleague_vet,,,,,,,
Utah Jazz,Max Abmas,G,gleague_vet,,,,,,,
Utah Jazz,Bez Mbeng,G,gleague_vet,,,,,,,5.2
Utah Jazz,Matthew Cleveland,F,gleague_vet,,,,,,,3.3
Utah Jazz,Blake Hinson,F,gleague_vet,,,,,,,5.2
Utah Jazz,Tamar Bates,G,gleague_vet,,,,,,,4.3
Utah Jazz,Eric Dixon,F,gleague_vet,,,,,,,3.7
Utah Jazz,Jonas Aidoo,C,gleague_vet,,,,,,,4.3
Utah Jazz,Mohamed Wague,C,gleague_vet,,,,,,,5.0
Utah Jazz,Micah Handlogten,C,undrafted_rookie,,,,,,,5.3
Utah Jazz,Hayden Gray,G,undrafted_rookie,,,,,,,4.2
Utah Jazz,Justin Harmon,G,undrafted_rookie,,,,,,,
Utah Jazz,Jaxon Kohler,F,undrafted_rookie,,,,,,,4.7
Washington Wizards,AJ Dybantsa,F,lottery_rookie,,1,,,,,7.2
Washington Wizards,Tre Johnson,G,nba_rotation,,6,,,,,7.1
Washington Wizards,Will Riley,F,nba_fringe,,21,,,,,6.9
Washington Wizards,Jamir Watkins,F,two_way,,43,,,,,6.9
Washington Wizards,Felix Okpara,C,second_round_rookie,,46,,,,,4.9
Washington Wizards,Izayiah Nelson,C,second_round_rookie,,51,,,,,
Washington Wizards,Julian Reese,F,gleague_vet,,,,,,,5.0
Washington Wizards,John Camden,F,undrafted_rookie,,,,,,,3.6
Washington Wizards,Seth Trimble,G,undrafted_rookie,,,,,,,3.9
Washington Wizards,Keyshawn Murphy,C,undrafted_rookie,,,,,,,
